region,control_plane_name,control_plane_id,serverless_gateway_url,auth_server_url
"eu","student44-cp","dd4a1c54-1457-4645-9cd0-c28693723bca","https://a524cf651b.eu.serverless.gateways.konggateway.com","https://0xxn9qdvjt9413xa.eu.identity.konghq.com/auth"
"eu","student45-cp","7edc939e-540d-4632-b4e0-a2a2789a89e3","https://cf7dd8661a.eu.serverless.gateways.konggateway.com","https://wtwg4w1hyiz855p3.eu.identity.konghq.com/auth"
"eu","student46-cp","296d97f1-d2f7-4e16-adbb-010ba726b027","https://6fe9f5e06f.eu.serverless.gateways.konggateway.com","https://p3k82v7cxyvb0017.eu.identity.konghq.com/auth"
"eu","student47-cp","59da52ae-f9dc-4582-b8b2-bfdff3ca6df9","https://18bdcb19cc.eu.serverless.gateways.konggateway.com","https://hssjudhdajldw3bf.eu.identity.konghq.com/auth"
"eu","student48-cp","6e2c488d-8745-430d-95ad-de7c5663bd2b","https://4cd7c533f1.eu.serverless.gateways.konggateway.com","https://nu9bwbmmlfr5apjy.eu.identity.konghq.com/auth"
"eu","student49-cp","1b1b55ba-cf27-4228-8395-cc30b4cd60c3","https://396e65c413.eu.serverless.gateways.konggateway.com","https://edie0cw6968treva.eu.identity.konghq.com/auth"
"eu","student50-cp","5d0efc13-ddc5-4a50-8fc0-afff44c9a216","https://344e711f81.eu.serverless.gateways.konggateway.com","https://ouim64h87k54b4gr.eu.identity.konghq.com/auth"
"eu","student51-cp","1aa674ae-8dab-44d2-9c22-d7dd75fa1a30","https://e93a98dbfc.eu.serverless.gateways.konggateway.com","https://d314idgxmsx082if.eu.identity.konghq.com/auth"
"eu","student52-cp","74ecfeae-7bec-4701-8c78-88b4ae37292c","https://d128662ef8.eu.serverless.gateways.konggateway.com","https://0fwywto1dx8rkl1h.eu.identity.konghq.com/auth"
"eu","student53-cp","2ea95ca8-4511-48b2-897c-cd02797dc6c8","https://dac9ac919c.eu.serverless.gateways.konggateway.com","https://ewu0lozplqe021a8.eu.identity.konghq.com/auth"
"eu","student54-cp","a038a379-6b0c-44eb-a953-0816020c3043","https://567d5e9fd2.eu.serverless.gateways.konggateway.com","https://2235jw1rpb75z8qr.eu.identity.konghq.com/auth"
"eu","student55-cp","1361b192-6ed9-4fac-a78e-27354318fcdf","https://297914358f.eu.serverless.gateways.konggateway.com","https://ze92vogdh4crvlv1.eu.identity.konghq.com/auth"
"eu","student56-cp","5ff43784-9d21-4594-89ff-8c62da59cd4a","https://22056b93f6.eu.serverless.gateways.konggateway.com","https://mwyjaz0fmb2n5ep7.eu.identity.konghq.com/auth"
"eu","student57-cp","1b207492-58a7-4a5d-a845-870b32c77a81","https://26d7c1d674.eu.serverless.gateways.konggateway.com","https://vvnu4o0241e1lbep.eu.identity.konghq.com/auth"
"eu","student58-cp","8ca7b3dd-b78d-4a59-8236-1ea4eeafa8e9","https://7bbf0b4aaf.eu.serverless.gateways.konggateway.com","https://0pjgbw8n6ajhk045.eu.identity.konghq.com/auth"
"eu","student59-cp","abfa13e9-e34f-41a7-ac3f-d79012d1b12e","https://5ebd1e704c.eu.serverless.gateways.konggateway.com","https://k4m11sfq6ds0szz4.eu.identity.konghq.com/auth"
"eu","student60-cp","12bc1d80-5dfa-4cf9-9b51-61eaf566d939","https://e9c6d3b690.eu.serverless.gateways.konggateway.com","https://hmw9958ci8nwsu8e.eu.identity.konghq.com/auth"
"eu","student61-cp","35cd783e-8759-4077-bbcc-28dada9b78b4","https://82743d9bc0.eu.serverless.gateways.konggateway.com","https://uzif8doiu1idifec.eu.identity.konghq.com/auth"
"eu","student62-cp","b7913cc4-2e7e-42e7-912b-0c9db378790e","https://4ae4613439.eu.serverless.gateways.konggateway.com","https://g0qkls6gq8g1vttp.eu.identity.konghq.com/auth"
"eu","student63-cp","63e6a8e4-bcf4-4340-82be-2d6d95f1f3f2","https://27f1156afb.eu.serverless.gateways.konggateway.com","https://zqhu0wyvn7otj21v.eu.identity.konghq.com/auth"
"eu","student64-cp","1fc1ebb0-e073-4330-8706-56aa4327a9ac","https://dd98af945c.eu.serverless.gateways.konggateway.com","https://90oloqswtjcc1sqc.eu.identity.konghq.com/auth"
"eu","student65-cp","914cd290-0885-4be4-9728-9c745d790663","https://31c3d0fa26.eu.serverless.gateways.konggateway.com","https://kno4f1jw0gl3x3qz.eu.identity.konghq.com/auth"
"eu","student66-cp","8262741b-780c-4ab9-9c38-09f0d76c2c7b","https://d12babe8af.eu.serverless.gateways.konggateway.com","https://87muaw9ncr05yeys.eu.identity.konghq.com/auth"
